Province,feature_name,shap_value,feature_value,base_value,predicted_pm25
Chiang Mai,frp_roll_sum_168h,-0.018509604,0.0,0.48551037907600403,0.0
Chiang Mai,pm25_delta_1h,0.22592364,0.0,0.48551037907600403,0.0
Chiang Mai,pm25_delta_24h,-0.027152745,0.0,0.48551037907600403,0.0
Chiang Mai,humidity_delta_1h,-0.025779337,0.0,0.48551037907600403,0.0
Chiang Mai,humidity_delta_24h,0.00076353893,3.0,0.48551037907600403,0.0
Chiang Rai,temperature_2m,-0.09460749,24.1,0.48551037907600403,0.0
Chiang Rai,relative_humidity_2m,-0.20753627,97.0,0.48551037907600403,0.0
Chiang Rai,precipitation_log,-0.099498816,0.9555114450274365,0.48551037907600403,0.0
Chiang Rai,surface_pressure,-0.054692786,959.7,0.48551037907600403,0.0
Chiang Rai,wind_speed_10m,0.003011739,3.3,0.48551037907600403,0.0
Chiang Rai,wind_dir_sin,0.017037107,0.7547095802227721,0.48551037907600403,0.0
Chiang Rai,wind_dir_cos,-0.05784687,-0.6560590289905072,0.48551037907600403,0.0
Chiang Rai,hotspot_log,-0.00043348625,0.0,0.48551037907600403,0.0
Chiang Rai,frp_sum_log,-0.0008276263,0.0,0.48551037907600403,0.0
Chiang Rai,frp_mean_log,0.01242472,0.0,0.48551037907600403,0.0
Chiang Rai,hour_sin,-0.17413369,-0.25881904510252157,0.48551037907600403,0.0
Chiang Rai,hour_cos,0.069105946,0.9659258262890681,0.48551037907600403,0.0
Chiang Rai,month_sin,-0.012804393,-0.4999999999999997,0.48551037907600403,0.0
Chiang Rai,month_cos,-0.024676144,-0.8660254037844388,0.48551037907600403,0.0
Chiang Rai,day_sin,0.03867847,-0.20129852008866114,0.48551037907600403,0.0
Chiang Rai,day_cos,0.0065509984,0.9795299412524943,0.48551037907600403,0.0
Chiang Rai,is_haze_season,-0.00029381155,0.0,0.48551037907600403,0.0
Chiang Rai,year,-0.016573617,2026.0,0.48551037907600403,0.0
Chiang Rai,province_label,0.0,1.0,0.48551037907600403,0.0
Chiang Rai,province_target_enc,0.0,19.978260207190736,0.48551037907600403,0.0
Chiang Rai,temp_x_humidity,-0.03161514,23.377000000000002,0.48551037907600403,0.0
Chiang Rai,hotspot_x_haze,8.13345e-05,0.0,0.48551037907600403,0.0
Chiang Rai,frp_x_haze,-0.00086370565,0.0,0.48551037907600403,0.0
Chiang Rai,wind_x_hotspot,-0.0003919825,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_1h,-11.334737,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_2h,-0.5523844,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_3h,-0.004532871,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_6h,-0.022359135,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_12h,0.030873043,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_24h,-1.6786507,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_48h,-0.1733656,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_lag_72h,-0.046956297,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_lag_24h,-0.009498153,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_lag_48h,-0.008301576,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_lag_72h,-0.005183526,0.0,0.48551037907600403,0.0
Chiang Rai,frp_sum_lag_24h,-0.0032694282,0.0,0.48551037907600403,0.0
Chiang Rai,frp_sum_lag_48h,-0.00824441,0.0,0.48551037907600403,0.0
Chiang Rai,frp_sum_lag_72h,-0.0019760435,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_log_lag_24h,-0.0027683673,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_log_lag_48h,-0.002112364,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_log_lag_72h,-0.0010855846,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_3h,-2.1198003,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_6h,-0.0064925617,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_12h,0.009118248,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_24h,-0.40655348,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_48h,0.0021705446,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_mean_168h,0.07236056,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_3h,0.067324504,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_6h,0.018767789,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_12h,-0.09253353,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_24h,0.030051226,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_48h,-0.02847026,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_std_168h,0.0059607336,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_3h,-1.6474727,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_6h,0.046238035,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_12h,0.010343261,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_24h,-0.06889154,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_48h,0.036346864,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_roll_max_168h,0.010511278,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_roll_sum_24h,-0.003279834,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_roll_sum_48h,-0.011730914,0.0,0.48551037907600403,0.0
Chiang Rai,hotspot_roll_sum_168h,-0.009125436,0.0,0.48551037907600403,0.0
Chiang Rai,frp_roll_sum_24h,-0.0006573756,0.0,0.48551037907600403,0.0
Chiang Rai,frp_roll_sum_48h,-0.010116124,0.0,0.48551037907600403,0.0
Chiang Rai,frp_roll_sum_168h,-0.019091632,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_delta_1h,0.23021361,0.0,0.48551037907600403,0.0
Chiang Rai,pm25_delta_24h,-0.036103696,0.0,0.48551037907600403,0.0
Chiang Rai,humidity_delta_1h,-0.028918788,1.0,0.48551037907600403,0.0
Chiang Rai,humidity_delta_24h,-0.00036312034,0.0,0.48551037907600403,0.0
Lampang,temperature_2m,-0.094625965,24.3,0.48551037907600403,0.0
Lampang,relative_humidity_2m,-0.26025546,98.0,0.48551037907600403,0.0
Lampang,precipitation_log,-0.113821514,0.7419373447293773,0.48551037907600403,0.0
Lampang,surface_pressure,0.24660395,978.1,0.48551037907600403,0.0
Lampang,wind_speed_10m,0.04517812,1.4,0.48551037907600403,0.0
Lampang,wind_dir_sin,-0.0015551515,-2.4492935982947064e-16,0.48551037907600403,0.0
Lampang,wind_dir_cos,-0.017579798,1.0,0.48551037907600403,0.0
Lampang,hotspot_log,0.005563998,1.791759469228055,0.48551037907600403,0.0
Lampang,frp_sum_log,-0.0007333065,3.458207636378935,0.48551037907600403,0.0
Lampang,frp_mean_log,-0.01766888,1.967392037871213,0.48551037907600403,0.0
Lampang,hour_sin,-0.17013384,-0.25881904510252157,0.48551037907600403,0.0
Lampang,hour_cos,-0.059278417,0.9659258262890681,0.48551037907600403,0.0
Lampang,month_sin,-0.03321354,-0.4999999999999997,0.48551037907600403,0.0
Lampang,month_cos,-0.025136448,-0.8660254037844388,0.48551037907600403,0.0
Lampang,day_sin,0.024715027,-0.20129852008866114,0.48551037907600403,0.0
