date,Province,hotspot_count,frp_sum,frp_mean
2023-01-13,Nan,2.0,1.8399999999999999,0.9199999999999999
2023-01-13,Phayao,8.0,50.61,6.32625
2023-01-13,Phrae,2.0,5.71,2.855
2023-01-14,Chiang Mai,17.0,59.98,3.5282352941176467
2023-01-14,Chiang Rai,15.0,118.22999999999999,7.882
2023-01-14,Lampang,11.0,55.94,5.085454545454545
2023-01-14,Lamphun,8.0,86.28,10.785
2023-01-14,Mae Hong Son,6.0,28.23,4.705
2023-01-14,Nan,11.0,63.92999999999999,5.8118181818181816
2023-01-14,Phayao,10.0,57.9,5.79
2023-01-14,Phrae,4.0,24.87,6.2175
2023-01-15,Chiang Mai,20.0,128.73000000000002,6.4365000000000006
2023-01-15,Chiang Rai,20.0,110.02,5.5009999999999994
2023-01-15,Lampang,16.0,70.17,4.385625
2023-01-15,Lamphun,5.0,10.64,2.128
2023-01-15,Mae Hong Son,2.0,2.93,1.465
2023-01-15,Nan,8.0,69.06,8.6325
2023-01-15,Phayao,15.0,70.84,4.722666666666667
2023-01-15,Phrae,10.0,25.94,2.5940000000000003
2023-01-16,Chiang Mai,18.0,112.75,6.263888888888889
2023-01-16,Chiang Rai,26.0,184.93,7.112692307692308
2023-01-16,Lampang,15.0,49.4,3.2933333333333334
2023-01-16,Lamphun,7.0,30.45,4.35
2023-01-16,Mae Hong Son,14.0,82.25,5.875
2023-01-16,Nan,7.0,30.599999999999998,4.371428571428571
2023-01-16,Phayao,20.0,73.26,3.6630000000000003
2023-01-16,Phrae,5.0,33.98,6.795999999999999
2023-01-17,Chiang Mai,6.0,48.81,8.135
2023-01-17,Chiang Rai,16.0,62.71,3.919375
2023-01-17,Lampang,4.0,15.309999999999999,3.8274999999999997
2023-01-17,Lamphun,1.0,2.49,2.49
2023-01-17,Mae Hong Son,4.0,9.69,2.4225
2023-01-17,Nan,3.0,26.22,8.74
2023-01-17,Phayao,8.0,27.11,3.38875
2023-01-17,Phrae,5.0,22.84,4.568
2023-01-18,Chiang Mai,2.0,3.1,1.55
2023-01-18,Chiang Rai,6.0,55.76,9.293333333333333
2023-01-18,Lampang,1.0,5.0,5.0
2023-01-18,Lamphun,0.0,0.0,0.0
2023-01-18,Mae Hong Son,1.0,2.69,2.69
2023-01-18,Nan,10.0,27.31,2.731
2023-01-18,Phayao,2.0,6.17,3.085
2023-01-18,Phrae,0.0,0.0,0.0
2023-01-19,Chiang Mai,8.0,42.089999999999996,5.2612499999999995
2023-01-19,Chiang Rai,8.0,49.45,6.18125
2023-01-19,Lampang,1.0,2.81,2.81
2023-01-19,Lamphun,1.0,2.61,2.61
2023-01-19,Mae Hong Son,5.0,20.5,4.1
2023-01-19,Nan,10.0,36.85,3.685
2023-01-19,Phayao,3.0,3.97,1.3233333333333335
2023-01-19,Phrae,6.0,33.96,5.66
2023-01-20,Chiang Mai,10.0,80.0,8.0
2023-01-20,Chiang Rai,22.0,185.32,8.423636363636364
2023-01-20,Lampang,19.0,89.36,4.703157894736842
2023-01-20,Lamphun,4.0,27.25,6.8125
2023-01-20,Mae Hong Son,3.0,10.72,3.5733333333333337
2023-01-20,Nan,6.0,112.41,18.735
2023-01-20,Phayao,14.0,54.9,3.9214285714285713
2023-01-20,Phrae,7.0,35.43,5.061428571428571
2023-01-21,Chiang Mai,25.0,112.81,4.5124
2023-01-21,Chiang Rai,18.0,80.59,4.477222222222222
2023-01-21,Lampang,24.0,64.99,2.7079166666666663
2023-01-21,Lamphun,10.0,33.01,3.3009999999999997
2023-01-21,Mae Hong Son,10.0,19.01,1.9010000000000002
2023-01-21,Nan,18.0,106.17,5.898333333333333
2023-01-21,Phayao,39.0,123.25,3.16025641025641
2023-01-21,Phrae,12.0,38.03,3.169166666666667
2023-01-22,Chiang Mai,10.0,37.32,3.732
2023-01-22,Chiang Rai,18.0,111.7,6.205555555555556
2023-01-22,Lampang,26.0,101.99,3.9226923076923077
2023-01-22,Lamphun,4.0,8.52,2.13
2023-01-22,Mae Hong Son,3.0,13.26,4.42
2023-01-22,Nan,8.0,45.63,5.70375
2023-01-22,Phayao,16.0,63.24,3.9525
2023-01-22,Phrae,11.0,50.19,4.5627272727272725
2023-01-23,Chiang Mai,17.0,175.85000000000002,10.344117647058825
2023-01-23,Chiang Rai,12.0,49.61,4.134166666666666
2023-01-23,Lampang,23.0,32.78,1.4252173913043478
2023-01-23,Lamphun,2.0,5.779999999999999,2.8899999999999997
2023-01-23,Mae Hong Son,5.0,26.53,5.306
2023-01-23,Nan,4.0,25.84,6.46
2023-01-23,Phayao,13.0,26.240000000000002,2.0184615384615388
2023-01-23,Phrae,12.0,62.41,5.200833333333333
2023-01-24,Chiang Mai,15.0,56.38,3.758666666666667
2023-01-24,Chiang Rai,15.0,78.74,5.249333333333333
2023-01-24,Lampang,11.0,26.88,2.4436363636363634
2023-01-24,Lamphun,11.0,43.4,3.9454545454545453
2023-01-24,Mae Hong Son,7.0,27.46,3.922857142857143
2023-01-24,Nan,12.0,27.43,2.285833333333333
2023-01-24,Phayao,8.0,37.480000000000004,4.6850000000000005
2023-01-24,Phrae,11.0,102.34,9.303636363636365
2023-01-25,Chiang Mai,6.0,27.66,4.61
2023-01-25,Chiang Rai,14.0,56.35,4.025
2023-01-25,Lampang,18.0,83.76,4.653333333333333
2023-01-25,Lamphun,4.0,15.98,3.995
2023-01-25,Mae Hong Son,12.0,19.41,1.6175
2023-01-25,Nan,17.0,77.47,4.557058823529411
2023-01-25,Phayao,20.0,92.72,4.636
2023-01-25,Phrae,9.0,52.94,5.882222222222222
2023-01-26,Chiang Mai,35.0,113.92,3.254857142857143
2023-01-26,Chiang Rai,50.0,255.95,5.119
2023-01-26,Lampang,35.0,96.02,2.7434285714285713
2023-01-26,Lamphun,7.0,16.68,2.382857142857143
2023-01-26,Mae Hong Son,14.0,59.05,4.2178571428571425
2023-01-26,Nan,18.0,49.09,2.727222222222222
2023-01-26,Phayao,38.0,138.16,3.6357894736842105
2023-01-26,Phrae,26.0,60.68,2.333846153846154
2023-01-27,Chiang Mai,16.0,77.26,4.82875
2023-01-27,Chiang Rai,32.0,405.54,12.673125
2023-01-27,Lampang,20.0,69.99000000000001,3.4995000000000003
2023-01-27,Lamphun,9.0,26.59,2.9544444444444444
2023-01-27,Mae Hong Son,3.0,11.760000000000002,3.9200000000000004
2023-01-27,Nan,36.0,108.46000000000001,3.012777777777778
2023-01-27,Phayao,41.0,189.53,4.622682926829269
2023-01-27,Phrae,28.0,228.55,8.1625
2023-01-28,Chiang Mai,4.0,2.97,0.7425
2023-01-28,Chiang Rai,1.0,6.77,6.77
2023-01-28,Lampang,26.0,103.92,3.996923076923077
2023-01-28,Lamphun,2.0,3.6799999999999997,1.8399999999999999
2023-01-28,Mae Hong Son,6.0,21.07,3.5116666666666667
2023-01-28,Nan,5.0,35.95,7.19
2023-01-28,Phayao,16.0,65.79,4.111875
2023-01-28,Phrae,8.0,20.869999999999997,2.6087499999999997
2023-01-29,Chiang Mai,1.0,6.55,6.55
2023-01-29,Chiang Rai,11.0,65.04,5.912727272727273
2023-01-29,Lampang,4.0,9.709999999999999,2.4274999999999998
2023-01-29,Lamphun,0.0,0.0,0.0
2023-01-29,Mae Hong Son,3.0,21.79,7.263333333333333
2023-01-29,Nan,11.0,39.82,3.62
2023-01-29,Phayao,5.0,14.52,2.904
2023-01-29,Phrae,15.0,73.28,4.8853333333333335
2023-01-30,Chiang Mai,28.0,171.94,6.140714285714286
2023-01-30,Chiang Rai,28.0,234.57,8.3775
2023-01-30,Lampang,26.0,96.66,3.7176923076923076
2023-01-30,Lamphun,8.0,28.11,3.51375
2023-01-30,Mae Hong Son,4.0,10.91,2.7275
2023-01-30,Nan,21.0,244.16,11.626666666666667
2023-01-30,Phayao,25.0,154.24,6.1696
2023-01-30,Phrae,31.0,146.07,4.711935483870968
2023-01-31,Chiang Mai,46.0,237.55,5.164130434782609
2023-01-31,Chiang Rai,32.0,199.7,6.240625
2023-01-31,Lampang,53.0,239.77,4.523962264150944
2023-01-31,Lamphun,24.0,59.949999999999996,2.4979166666666663
2023-01-31,Mae Hong Son,29.0,102.38,3.5303448275862066
2023-01-31,Nan,43.0,200.64,4.666046511627907
2023-01-31,Phayao,62.0,332.64,5.365161290322581
2023-01-31,Phrae,40.0,197.78,4.9445
2023-02-01,Chiang Mai,37.0,111.16,3.0043243243243243
2023-02-01,Chiang Rai,51.0,224.7,4.405882352941176
2023-02-01,Lampang,30.0,105.81,3.527
2023-02-01,Lamphun,9.0,17.43,1.9366666666666665
2023-02-01,Mae Hong Son,5.0,20.85,4.17
2023-02-01,Nan,23.0,92.61,4.026521739130435
2023-02-01,Phayao,15.0,24.75,1.65
2023-02-01,Phrae,17.0,47.02,2.7658823529411767
2023-02-02,Chiang Mai,9.0,15.68,1.7422222222222221
2023-02-02,Chiang Rai,47.0,741.16,15.769361702127659
2023-02-02,Lampang,8.0,24.2,3.025
2023-02-02,Lamphun,5.0,9.66,1.932
2023-02-02,Mae Hong Son,5.0,16.62,3.3240000000000003
2023-02-02,Nan,20.0,118.26,5.913
2023-02-02,Phayao,6.0,12.51,2.085
2023-02-02,Phrae,8.0,15.530000000000001,1.9412500000000001
2023-02-03,Chiang Mai,14.0,77.53,5.537857142857143
2023-02-03,Chiang Rai,21.0,344.07,16.384285714285713
2023-02-03,Lampang,7.0,35.519999999999996,5.074285714285714
2023-02-03,Lamphun,1.0,1.29,1.29
2023-02-03,Mae Hong Son,4.0,22.7,5.675
2023-02-03,Nan,11.0,112.45,10.222727272727273
2023-02-03,Phayao,2.0,7.62,3.81
2023-02-03,Phrae,0.0,0.0,0.0
2023-02-04,Chiang Mai,19.0,110.88,5.83578947368421
2023-02-04,Chiang Rai,43.0,496.26,11.54093023255814
2023-02-04,Lampang,5.0,38.81,7.7620000000000005
2023-02-04,Lamphun,7.0,38.0,5.428571428571429
2023-02-04,Mae Hong Son,20.0,103.79,5.189500000000001
2023-02-04,Nan,19.0,96.74,5.091578947368421
2023-02-04,Phayao,3.0,10.149999999999999,3.383333333333333
2023-02-04,Phrae,0.0,0.0,0.0
2023-02-05,Chiang Mai,23.0,97.97,4.259565217391304
2023-02-05,Chiang Rai,20.0,203.78,10.189
2023-02-05,Lampang,18.0,79.8,4.433333333333334
2023-02-05,Lamphun,12.0,58.83,4.9025
2023-02-05,Mae Hong Son,35.0,150.27,4.293428571428572
2023-02-05,Nan,24.0,155.59,6.482916666666667
2023-02-05,Phayao,2.0,8.54,4.27
2023-02-05,Phrae,0.0,0.0,0.0
2023-02-06,Chiang Mai,101.0,297.62,2.9467326732673267
2023-02-06,Chiang Rai,102.0,525.8,5.154901960784313
2023-02-06,Lampang,101.0,248.68,2.462178217821782
2023-02-06,Lamphun,32.0,81.93,2.5603125
2023-02-06,Mae Hong Son,61.0,173.56,2.8452459016393443
2023-02-06,Nan,42.0,132.87,3.1635714285714287
2023-02-06,Phayao,23.0,52.79,2.2952173913043477
2023-02-06,Phrae,9.0,7.859999999999999,0.8733333333333333
2023-02-07,Chiang Mai,160.0,482.76,3.0172499999999998
2023-02-07,Chiang Rai,150.0,739.45,4.929666666666667
2023-02-07,Lampang,150.0,372.68,2.4845333333333333
2023-02-07,Lamphun,61.0,295.44,4.84327868852459
2023-02-07,Mae Hong Son,55.0,262.29,4.768909090909092
2023-02-07,Nan,98.0,559.48,5.7089795918367345
2023-02-07,Phayao,27.0,83.76,3.102222222222222
2023-02-07,Phrae,29.0,52.37,1.8058620689655172
2023-02-08,Chiang Mai,123.0,519.27,4.221707317073171
2023-02-08,Chiang Rai,88.0,561.73,6.383295454545455
2023-02-08,Lampang,101.0,284.46,2.8164356435643563
2023-02-08,Lamphun,36.0,82.46,2.2905555555555552
2023-02-08,Mae Hong Son,54.0,339.46999999999997,6.286481481481481
2023-02-08,Nan,63.0,190.92,3.03047619047619
2023-02-08,Phayao,16.0,33.85,2.115625
2023-02-08,Phrae,23.0,63.38,2.7556521739130435
2023-02-09,Chiang Mai,109.0,530.53,4.8672477064220185
2023-02-09,Chiang Rai,57.0,216.44,3.7971929824561403
2023-02-09,Lampang,41.0,145.22,3.541951219512195
2023-02-09,Lamphun,40.0,168.52,4.213
2023-02-09,Mae Hong Son,88.0,409.83,4.657159090909091
2023-02-09,Nan,43.0,267.08,6.211162790697674
2023-02-09,Phayao,5.0,35.339999999999996,7.068
2023-02-09,Phrae,4.0,17.599999999999998,4.3999999999999995
2023-02-10,Chiang Mai,275.0,919.97,3.3453454545454546
2023-02-10,Chiang Rai,138.0,816.6800000000001,5.917971014492754
2023-02-10,Lampang,164.0,704.53,4.2959146341463414
2023-02-10,Lamphun,105.0,393.46999999999997,3.747333333333333
2023-02-10,Mae Hong Son,128.0,402.56,3.145
2023-02-10,Nan,96.0,710.49,7.4009375
2023-02-10,Phayao,40.0,119.5,2.9875
2023-02-10,Phrae,31.0,227.51000000000002,7.339032258064517
2023-02-11,Chiang Mai,434.0,1012.34,2.3325806451612903
2023-02-11,Chiang Rai,176.0,561.3199999999999,3.1893181818181815
2023-02-11,Lampang,387.0,1227.86,3.1727648578811367
2023-02-11,Lamphun,148.0,322.08,2.176216216216216
2023-02-11,Mae Hong Son,184.0,416.45,2.2633152173913045
2023-02-11,Nan,254.0,1521.97,5.992007874015748
2023-02-11,Phayao,185.0,488.86,2.6424864864864865
2023-02-11,Phrae,97.0,258.41,2.6640206185567012
2023-02-12,Chiang Mai,256.0,638.74,2.495078125
2023-02-12,Chiang Rai,116.0,436.71,3.764741379310345
2023-02-12,Lampang,337.0,939.36,2.7874183976261127
2023-02-12,Lamphun,121.0,274.4,2.267768595041322
2023-02-12,Mae Hong Son,99.0,434.56,4.389494949494949
2023-02-12,Nan,369.0,1303.12,3.5314905149051485
2023-02-12,Phayao,149.0,363.89,2.442214765100671
2023-02-12,Phrae,114.0,188.47,1.6532456140350877
2023-02-13,Chiang Mai,186.0,615.15,3.307258064516129
2023-02-13,Chiang Rai,78.0,333.25,4.272435897435898
2023-02-13,Lampang,101.0,284.54,2.8172277227722775
2023-02-13,Lamphun,51.0,201.06,3.9423529411764706
2023-02-13,Mae Hong Son,40.0,102.32000000000001,2.5580000000000003
2023-02-13,Nan,148.0,943.74,6.376621621621622
2023-02-13,Phayao,46.0,91.05,1.9793478260869564
2023-02-13,Phrae,37.0,99.45,2.687837837837838
2023-02-14,Chiang Mai,233.0,1146.66,4.921287553648069
2023-02-14,Chiang Rai,36.0,171.35999999999999,4.76
2023-02-14,Lampang,68.0,348.15,5.11985294117647
2023-02-14,Lamphun,40.0,149.58,3.7395000000000005
2023-02-14,Mae Hong Son,117.0,605.79,5.177692307692308
2023-02-14,Nan,95.0,576.12,6.064421052631579
2023-02-14,Phayao,11.0,28.6,2.6
2023-02-14,Phrae,14.0,57.26,4.09
2023-02-15,Chiang Mai,72.0,455.44,6.325555555555556
2023-02-15,Chiang Rai,3.0,22.5,7.5
2023-02-15,Lampang,21.0,85.53999999999999,4.073333333333333
2023-02-15,Lamphun,17.0,66.04,3.8847058823529417
2023-02-15,Mae Hong Son,112.0,656.03,5.857410714285714
2023-02-15,Nan,12.0,62.49,5.2075000000000005
2023-02-15,Phayao,25.0,38.88,1.5552000000000001
2023-02-15,Phrae,6.0,28.11,4.685
2023-02-16,Chiang Mai,7.0,38.58,5.511428571428572
2023-02-16,Chiang Rai,0.0,0.0,0.0
2023-02-16,Lampang,5.0,18.62,3.724
2023-02-16,Lamphun,0.0,0.0,0.0
2023-02-16,Mae Hong Son,18.0,80.23,4.457222222222223
2023-02-16,Nan,96.0,277.86,2.894375
2023-02-16,Phayao,4.0,15.65,3.9125
2023-02-16,Phrae,17.0,58.86,3.4623529411764706
2023-02-17,Chiang Mai,0.0,0.0,0.0
2023-02-17,Chiang Rai,0.0,0.0,0.0
2023-02-17,Lampang,0.0,0.0,0.0
2023-02-17,Lamphun,0.0,0.0,0.0
2023-02-17,Mae Hong Son,0.0,0.0,0.0
2023-02-17,Nan,5.0,15.330000000000002,3.0660000000000003
2023-02-17,Phayao,0.0,0.0,0.0
2023-02-17,Phrae,0.0,0.0,0.0
2023-02-18,Chiang Mai,1.0,1.77,1.77
2023-02-18,Chiang Rai,0.0,0.0,0.0
2023-02-18,Lampang,0.0,0.0,0.0
2023-02-18,Lamphun,0.0,0.0,0.0
2023-02-18,Mae Hong Son,0.0,0.0,0.0
2023-02-18,Nan,42.0,49.88,1.1876190476190476
2023-02-18,Phayao,0.0,0.0,0.0
2023-02-18,Phrae,25.0,21.05,0.8420000000000001
2023-02-19,Chiang Mai,3.0,2.5999999999999996,0.8666666666666666
2023-02-19,Chiang Rai,0.0,0.0,0.0
2023-02-19,Lampang,1.0,1.68,1.68
2023-02-19,Lamphun,11.0,18.9,1.718181818181818
2023-02-19,Mae Hong Son,0.0,0.0,0.0
2023-02-19,Nan,53.0,75.03,1.4156603773584906
2023-02-19,Phayao,0.0,0.0,0.0
2023-02-19,Phrae,15.0,20.63,1.3753333333333333
2023-02-20,Chiang Mai,5.0,25.44,5.088
2023-02-20,Chiang Rai,2.0,1.65,0.825
2023-02-20,Lampang,0.0,0.0,0.0
2023-02-20,Lamphun,14.0,104.66999999999999,7.4764285714285705
2023-02-20,Mae Hong Son,2.0,10.49,5.245
2023-02-20,Nan,19.0,34.46,1.8136842105263158
2023-02-20,Phayao,1.0,2.57,2.57
2023-02-20,Phrae,11.0,32.68,2.9709090909090907
2023-02-21,Chiang Mai,6.0,9.7,1.6166666666666665
2023-02-21,Chiang Rai,1.0,2.13,2.13
2023-02-21,Lampang,16.0,40.52,2.5325
2023-02-21,Lamphun,24.0,120.17,5.007083333333333
2023-02-21,Mae Hong Son,9.0,42.86,4.762222222222222
2023-02-21,Nan,46.0,93.76,2.0382608695652173
2023-02-21,Phayao,6.0,11.66,1.9433333333333334
2023-02-21,Phrae,43.0,80.05,1.861627906976744
2023-02-22,Chiang Mai,27.0,62.52,2.3155555555555556
2023-02-22,Chiang Rai,5.0,13.120000000000001,2.624
2023-02-22,Lampang,45.0,112.62,2.502666666666667
2023-02-22,Lamphun,52.0,105.13,2.021730769230769
2023-02-22,Mae Hong Son,5.0,10.870000000000001,2.1740000000000004
